"tag";"name";"expLevel";"trophies";"bestTrophies";"totalWins";"totalLosses";"battleCount";"threeCrownWins";"challengeCardsWon";"challengeMaxWins";"tournamentCardsWon";"tournamentBattleCount";"role";"donations";"donationsReceived";"totalDonations";"warDayWins";"clanCardsCollected";"arena";"age";"joined"
"#200CGV9QP";"zau";11;4622;4622;2225;2069;6928;1140;2661;12;0;7;"elder";268;170;27026;40;75580;"League 3";102;2018-07-21
"#208LL8JU";"Pikaya";10;4023;4077;1648;1431;4278;823;2388;10;0;2;"member";196;80;17697;13;25280;"League 1";32;2018-09-29
"#20LPVLY9J";"KryptoNnN";11;4138;4219;2527;2566;6071;1056;1649;12;0;9;"elder";46;200;8852;39;54997;"League 1";322;2017-12-13
"#28QLVJ00U";"NOVA I MIGUEL<U+2609>";10;3698;3764;690;636;1929;381;1428;10;0;4;"member";390;160;15875;3;5985;"Arena 11";7;2018-10-24
"#28VVQUJ";"fglopes";10;3979;4142;1209;1238;3103;495;310;10;0;0;"member";237;120;14784;28;36066;"Arena 12";48;2018-09-13
"#28VY80Q2Q";"TheKingJK";11;4263;4418;2938;2646;6971;681;4151;10;52;166;"member";50;160;2125;37;51480;"League 1";40;2018-09-21
"#2C9Y02QGJ";"pjp";11;4455;4455;1888;1790;7463;1108;1384;10;0;0;"coLeader";84;210;24785;55;64795;"League 2";346;2017-11-19
"#2CQLJCV8R";"mounir";11;4320;4365;2311;2242;5081;890;1622;10;0;3;"member";121;200;24496;12;47352;"League 2";14;2018-10-17
"#2G8QRCQJQ";"Doomesticador";11;3401;3656;1096;1149;4617;1229;855;11;25;18;"member";36;80;28781;7;11970;"Arena 11";281;2018-01-23
"#2G8YCGGUL";"Goblyn";11;4461;4490;2309;2144;10407;2328;1906;11;0;0;"coLeader";40;240;3082;53;73190;"League 2";281;2018-01-23
"#2GP9VYY98";"Tabo da amarela";12;4615;4617;2229;1747;9311;1357;4199;10;0;7;"member";525;280;87462;71;66720;"League 3";7;2018-10-24
"#2J2PPYGLC";"pedro";11;4069;4163;3141;3311;8534;1336;1906;10;0;0;"member";0;0;14123;17;25640;"League 1";186;2018-04-28
"#2JU82PCJ";"<U+2606> Di<U+2661>g<U+2661>";11;4362;4389;1334;1186;5404;748;1187;9;0;11;"elder";218;240;36685;57;68560;"League 2";186;2018-04-28
"#2L90UUCCY";"Matilde Pires";12;4310;4521;4549;4962;10536;2036;1842;10;4;15;"member";612;240;51259;28;74970;"League 2";14;2018-10-17
"#2PGU9R00C";"Wut";11;4355;4416;2253;2050;6643;1063;3622;12;1200;11;"elder";22;120;20315;42;45101;"League 2";129;2018-06-24
"#2PUJ8JLGJ";"supercell";11;4028;4076;1528;1451;3598;995;2611;10;33;34;"elder";59;40;30050;11;20738;"League 1";184;2018-04-30
"#2Q9PULLCQ";"Madnasty";11;4397;4521;2722;2491;6475;698;3595;10;0;0;"elder";69;200;21548;45;70585;"League 2";346;2017-11-19
"#2R8V8PPR";"unb";12;4293;4512;2956;2846;6711;1231;2092;11;8;51;"elder";151;190;44918;31;45835;"League 1";92;2018-07-31
"#2UVYQPG2J";"bascenso";12;4578;4741;6633;6594;23280;2736;2558;10;433;2443;"leader";212;280;66205;84;77135;"League 2";699;2016-12-01
"#2V80YRPPV";"Manu";11;3091;3170;3220;4501;9017;2905;444;10;0;0;"member";30;40;36889;25;41010;"Arena 10";253;2018-02-20
"#2VG98LGRL";"Sra. Clash";11;4119;4253;1322;1382;4540;868;505;10;0;0;"member";0;0;21472;25;44781;"League 1";150;2018-06-03
"#2VLYP9PP8";"YOSHINZ";11;4345;4345;1883;1791;7943;2041;1562;11;10;11;"member";154;200;55347;28;61500;"League 2";24;2018-10-07
"#2VQPQJGCU";"thunder";12;4235;4280;4392;4355;18278;2912;2740;11;2641;15473;"coLeader";8;240;6192;75;74105;"League 1";790;2016-09-01
"#80URYGRY8";"Jonas 705";10;3940;4008;1358;1374;3926;642;793;10;0;0;"member";44;0;9620;11;21555;"Arena 12";4;2018-10-27
"#828L2V0QV";"Fabíola";12;4100;4210;3281;3477;12068;1669;2757;10;0;0;"elder";340;240;40708;61;66963;"League 1";190;2018-04-24
"#828Q2QRQ";"King Bonixe";12;4399;4653;3677;3403;11290;1542;3038;11;100;192;"coLeader";0;0;32419;57;69755;"League 2";790;2016-09-01
"#82R099R2Y";"Robb Stark";11;4233;4420;3096;3061;7776;874;2712;10;0;0;"elder";0;0;12600;65;68841;"League 1";150;2018-06-03
